session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2022-10-11,2022-10-12,PE,17200,2022-10-13,50,19.6,16980.45,17070.86,17011.05,16998.6,227.0,229.8,True,11350.0,67.6,72.40000000000057
2022-10-14,2022-10-17,PE,17400,2022-10-20,50,29.5,17180.5,17230.94,17182.65,17155.85,258.5,291.0,True,12925.0,72.08,1552.92
2022-10-31,2022-11-01,CE,17800,2022-11-03,50,76.6,18017.95,17981.14,18014.2,18093.6,246.35,320.05,True,12317.5,73.32,3611.6800000000007
2022-11-04,2022-11-07,CE,17950,2022-11-10,50,82.1,18124.1,18076.43,18126.1,18217.9,240.0,301.65,True,12000.0,72.07,3010.429999999999
2022-11-07,2022-11-09,CE,18000,2022-11-10,50,71.8,18202.25,18158.14,18202.9,18258.3,231.0,276.0,True,11550.0,70.33,2179.67
2022-11-15,2022-11-16,CE,18200,2022-11-17,50,79.1,18406.6,18351.39,18398.3,18388.55,224.55,203.8,True,11227.5,66.05,-1103.55
2022-11-18,2022-11-21,CE,18100,2022-11-24,50,75.4,18322.55,18265.97,18320.4,18221.9,289.05,180.45,True,14452.5,66.85,-5496.850000000001
2022-11-22,2022-11-23,CE,18050,2022-11-24,50,71.8,18249.45,18219.91,18241.15,18296.9,234.4,285.0,True,11720.0,70.95,2459.0499999999997
2022-11-30,2022-12-01,CE,18550,2022-12-01,50,80.9,18765.2,18692.25,18747.8,18871.95,190.15,316.7,True,9507.5,71.28,6256.219999999999
2022-12-19,2022-12-20,CE,18200,2022-12-22,50,75.5,18418.7,18385.26,18422.0,18328.55,276.1,168.45,True,13805.000000000002,65.75,-5448.250000000002
2022-12-20,2022-12-21,CE,18200,2022-12-22,50,80.9,18399.6,18326.68,18392.55,18468.8,209.5,272.5,True,10475.0,69.43,3080.57
2023-01-17,2023-01-18,CE,17850,2023-01-19,50,72.6,18059.0,18005.44,18056.8,18064.85,223.9,243.15,True,11195.0,68.25,894.25
2023-02-03,2023-02-06,CE,17650,2023-02-09,50,77.4,17854.3,17796.68,17854.05,17793.0,259.3,197.9,True,12965.0,66.86,-3136.8600000000006
2023-02-15,2023-02-16,CE,17800,2023-02-16,50,81.3,18015.1,17961.47,18008.95,18103.85,224.0,297.65,True,11200.0,71.32,3611.179999999999
2023-03-08,2023-03-09,CE,17550,2023-03-09,50,74.3,17756.6,17712.57,17758.25,17748.3,208.0,217.15,True,10400.0,66.26,391.2400000000003
2023-03-15,2023-03-16,PE,17150,2023-03-16,50,24.5,16964.45,17025.84,16974.05,16937.35,178.0,222.75,True,8900.0,65.59,2171.91
2023-03-20,2023-03-21,CE,16800,2023-03-23,50,73.5,16987.3,16926.46,16994.0,17044.95,239.5,290.0,True,11975.0,71.4,2453.6
2023-04-03,2023-04-05,CE,17200,2023-04-06,50,71.8,17404.1,17377.72,17395.55,17442.35,218.65,257.05,True,10932.5,68.86,1851.1400000000003
2023-04-24,2023-04-25,CE,17550,2023-04-27,50,76.0,17747.75,17716.0,17745.95,17722.45,220.7,203.15,True,11035.0,65.89,-943.3899999999991
2023-04-26,2023-04-27,CE,17600,2023-04-27,50,71.7,17816.4,17790.29,17817.25,17810.15,222.0,214.2,True,11100.0,66.55,-456.5500000000006
2023-04-28,2023-05-02,CE,17850,2023-05-04,50,80.2,18064.05,18001.78,18062.35,18124.15,233.75,304.45,True,11687.5,72.02,3462.9799999999996
2023-05-15,2023-05-16,PE,18600,2023-05-18,50,28.7,18390.0,18427.09,18401.0,18383.1,199.5,210.0,True,9975.0,65.58,459.42
2023-05-16,2023-05-17,PE,18500,2023-05-18,50,17.4,18283.2,18331.95,18296.85,18269.3,198.0,219.35,True,9900.0,66.06,1001.4399999999998
2023-05-19,2023-05-22,CE,18000,2023-05-25,50,78.7,18204.25,18169.88,18209.95,18227.55,243.95,241.95,True,12197.5,68.84,-168.84
2023-05-26,2023-05-29,CE,18300,2023-06-01,50,71.6,18505.0,18482.66,18506.35,18633.4,238.6,341.4,True,11930.0,74.26,5065.739999999999
2023-06-06,2023-06-07,CE,18400,2023-06-08,50,77.0,18608.6,18565.38,18602.0,18639.95,209.0,259.8,True,10450.0,68.7,2471.3000000000006
2023-06-07,2023-06-08,CE,18500,2023-06-08,50,77.4,18726.95,18702.91,18724.65,18741.25,231.8,243.0,True,11590.0,68.5,491.49999999999943
2023-06-20,2023-06-21,CE,18600,2023-06-22,50,75.7,18820.4,18769.41,18812.7,18813.75,226.35,218.3,True,11317.5,66.93,-469.42999999999915
2023-06-27,2023-06-28,CE,18600,2023-06-28,50,74.3,18824.8,18785.83,18820.7,18872.4,219.2,263.0,True,10960.0,69.21,2120.7900000000004
2023-06-30,2023-07-03,CE,19000,2023-07-06,50,79.3,19194.25,19162.58,19185.7,19275.2,210.8,284.6,True,10540.0,70.15,3619.8500000000004
2023-07-12,2023-07-13,PE,19600,2023-07-13,50,27.3,19371.7,19430.1,19380.2,19475.15,198.2,119.25,True,9910.0,60.42,-4007.9199999999996
2023-07-14,2023-07-17,CE,19350,2023-07-20,50,73.9,19566.45,19512.78,19549.35,19597.5,230.2,259.0,True,11510.0,69.35,1370.6500000000005
2023-07-17,2023-07-18,CE,19500,2023-07-20,50,76.3,19730.15,19673.75,19713.2,19784.25,221.85,281.75,True,11092.5,70.35,2924.6500000000005
2023-07-19,2023-07-20,CE,19650,2023-07-20,50,71.4,19833.2,19792.91,19835.15,19790.85,190.15,160.5,True,9507.5,62.48,-1544.9800000000002
2023-08-09,2023-08-10,CE,19450,2023-08-10,50,87.1,19639.0,19564.66,19629.95,19577.75,200.6,133.45,True,10030.0,61.3,-3418.8000000000006
2023-08-11,2023-08-14,PE,19600,2023-08-17,50,29.6,19415.85,19455.41,19421.45,19298.65,163.85,280.85,True,8192.5,68.4,5781.600000000002
2023-08-30,2023-08-31,PE,19550,2023-08-31,50,12.2,19344.5,19394.39,19342.5,19370.05,213.05,192.65,True,10652.5,65.05,-1085.0500000000002
2023-09-06,2023-09-07,CE,19400,2023-09-07,50,76.4,19615.25,19549.24,19624.05,19576.0,207.35,165.95,True,10367.5,63.35,-2133.3500000000004
2023-09-11,2023-09-12,CE,19800,2023-09-14,50,77.6,19997.65,19966.55,19999.0,20075.05,212.9,279.35,True,10645.0,69.92,3252.580000000001
2023-09-22,2023-09-25,PE,19900,2023-09-28,50,28.7,19663.65,19701.61,19675.95,19670.3,212.0,240.95,True,10600.0,67.73,1379.7699999999995
2023-09-29,2023-10-03,PE,19850,2023-10-05,50,26.4,19623.8,19678.83,19627.3,19529.6,228.15,316.35,True,11407.5,72.51,4337.490000000001
